City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto ayacucho,5.6639,-67.6236,30.28,67,38,1.32,VE,1724947387
1,alofi,-19.0595,-169.9187,18.94,94,20,2.57,NU,1724947388
2,adamstown,-25.066,-130.1015,18.94,71,8,4.54,PN,1724947390
3,muli,2.9167,73.5667,28.4,75,16,4.08,MV,1724947391
4,lazaro cardenas,17.9583,-102.2,29.31,70,70,0.75,MX,1724947287
5,bredasdorp,-34.5322,20.0403,9.25,69,42,2.78,ZA,1724947393
6,mitu,1.1983,-70.1733,30.85,59,17,0.61,CO,1724947394
7,west island,-12.1568,96.8225,25.99,78,100,9.77,CC,1724947395
8,belyy yar,53.6039,91.3903,15.94,67,0,2.0,RU,1724947396
9,altay,47.8667,88.1167,14.5,75,100,1.72,CN,1724947397
10,albany,42.6001,-73.9662,20.81,67,85,0.28,US,1724947208
11,waitangi,-43.9535,-176.5597,13.23,94,99,6.26,NZ,1724947399
12,dazuocun,24.8862,118.9643,27.28,88,75,1.68,CN,1724947400
13,umba,66.6871,34.3429,15.78,67,65,1.54,RU,1724947401
14,anshun,26.25,105.9333,19.67,94,2,1.36,CN,1724947402
15,mikun',62.3547,50.0771,14.14,67,100,2.56,RU,1724947404
16,ilulissat,69.2167,-51.1,4.01,75,100,4.12,GL,1724947405
17,edinburgh of the seven seas,-37.0676,-12.3116,12.7,81,22,13.48,SH,1724947406
18,hawaiian paradise park,19.5933,-154.9731,22.16,99,2,2.97,US,1724947408
19,cabo san lucas,22.8909,-109.9124,34.17,46,0,2.57,MX,1724947409
20,nemuro,43.3236,145.575,17.96,100,100,0.91,JP,1724947410
21,shimoda,34.6667,138.95,26.25,93,100,5.09,JP,1724947411
22,la glacerie,49.6052,-1.5819,17.94,72,0,4.12,FR,1724947412
23,georgetown,5.4112,100.3354,28.96,87,20,1.03,MY,1724947303
24,iqaluit,63.7506,-68.5145,6.85,87,100,6.17,CA,1724947213
25,pisco,-13.7,-76.2167,18.03,72,100,4.12,PE,1724947415
26,masterton,-40.9597,175.6575,10.91,67,93,6.65,NZ,1724947416
27,baglung,28.2719,83.5898,21.01,97,87,0.7,NP,1724947418
28,blackmans bay,-43.0167,147.3167,10.41,89,100,2.68,AU,1724947419
29,roslavl',53.9528,32.8639,23.0,65,5,2.78,RU,1724947420
30,viransehir,37.2353,39.7631,34.7,18,0,3.84,TR,1724947421
31,grytviken,-54.2811,-36.5092,1.24,98,100,1.98,GS,1724947422
32,las trojes,14.0667,-85.9833,27.01,66,35,2.14,HN,1724947423
33,lihue,21.9789,-159.3672,24.09,94,5,3.59,US,1724947424
34,luderitz,-26.6481,15.1594,16.94,49,0,10.61,NA,1724947425
35,boca suno,-0.7167,-77.1333,32.88,39,2,0.76,EC,1724947426
36,papatowai,-46.5619,169.4708,7.15,78,11,4.12,NZ,1724947427
37,quepos,9.4236,-84.1652,29.41,73,91,1.95,CR,1724947428
38,gracemere,-23.4333,150.45,18.54,100,0,2.57,AU,1724947429
39,port mathurin,-19.6833,63.4167,21.67,69,0,13.41,MU,1724947430
40,port-aux-francais,-49.35,70.2167,4.04,78,98,18.61,TF,1724947432
41,jamestown,42.097,-79.2353,25.57,78,100,1.54,US,1724947433
42,tolanaro,-25.0319,46.9987,24.04,73,0,11.83,MG,1724947434
43,bethel,41.3712,-73.414,23.36,70,37,2.03,US,1724947383
44,yellowknife,62.456,-114.3525,13.56,91,75,6.17,CA,1724947354
45,howrah,22.5892,88.3103,30.0,84,40,0.0,IN,1724947437
46,selendi,38.7444,28.8678,28.88,34,7,4.86,TR,1724947438
47,ushuaia,-54.8,-68.3,7.81,66,40,3.6,AR,1724947439
48,whitehorse,60.7161,-135.0538,9.43,70,75,4.63,CA,1724947255
49,mount gambier,-37.8333,140.7667,13.04,92,100,8.84,AU,1724947441
